gis_join,time
G1000010,433.3977220058441
G3000950,413.8056745529175
G1801250,377.40078377723694
G5300110,319.9424033164978
G2601050,469.16587352752686
G2100870,373.1387085914612
G2001610,355.8245906829834
G3901650,439.0315794944763
G3000370,469.88035440444946
G1701970,333.5521242618561
G3400090,334.2583553791046
G1900150,435.51475715637207
G5107900,368.25581979751587
G2100110,379.2640016078949
G2101510,377.01545691490173
G3900590,373.85544872283936
G3100430,440.98671102523804
G5600070,468.71090841293335
G1701670,411.28527879714966
G5600210,435.35592699050903
G2601630,447.6590459346771
G1900910,448.3715672492981
G2400130,377.635445356369
G4600390,364.1856710910797
G1900350,441.9566915035248
G5500490,373.7316827774048
G3100790,449.2305097579956
G2100910,404.72094774246216
G0900110,400.6994869709015
G2500090,434.77101707458496
G2600390,423.27063488960266
G0600490,324.1848554611206
G4600190,389.5504915714264
G5501370,333.55765175819397
G3900110,344.70465421676636
G3600570,433.8409013748169
G3100910,351.3634445667267
G0900010,344.85477924346924
G5100350,438.3431580066681
G3701930,446.50531697273254
G3700870,459.45942187309265
G5100650,442.8287744522095
G5101530,424.44249296188354
G5400190,377.2759132385254
G3000130,428.5005102157593
G4600590,384.856894493103
G4900410,440.1483256816864
G0800070,427.46213555336
G2701370,370.5377290248871
G3001110,381.8196647167206
G2900970,375.23306703567505
G0801250,382.9896819591522
G5600350,424.8807008266449
G2400230,361.2924373149872
G2701710,445.91178727149963
G4701850,388.1760165691376
G2900130,436.902512550354
G2901510,442.5584878921509
G1700230,420.51550102233887
G3800970,435.73182129859924
G4600210,436.74009013175964
G4100510,360.1747500896454
G4601250,379.3191063404083
G0800610,432.79691433906555
G2500150,416.4351222515106
G4100350,436.6524200439453
G4801110,432.1331458091736
G5106300,453.4527564048767
G4900130,434.45251655578613
G0800050,436.4384002685547
G2902290,435.15276885032654
G5400990,376.1395809650421
G3600370,382.68010425567627
G4100310,430.58119535446167
G0600350,434.27404594421387
G2600470,438.0230255126953
G4201230,403.64822340011597
G5500950,438.1600089073181
G2001210,429.1301443576813
G1800670,380.48229575157166
G5100190,433.1100571155548
G3000970,390.3329679965973
G2600310,430.20546770095825
G4700730,419.5746154785156
G2601030,383.1617522239685
G4200190,390.2222363948822
G1600570,426.2507083415985
G4100090,432.32094073295593
G3901150,388.0278263092041
G3600490,436.64643239974976
G3801010,440.24554777145386
